URL,Title,Content
https://www.eyefootball.com/news/60018/Liverpool-contact-reps-top-Arsenal.html,Liverpool contact reps of top Arsenal target,"The Merseyside giants are facing the prospect of losingLuis Diaz, who is keen on joining Bayern Munich during thetransfer window.The Reds have already turned down a €68 million offer from Bayern, but an improved proposal could persuade them to sanction his sale.Amidst this,Arne Slot's side have started the hunt for a replacement and they have made contact with Rodrygo's entourage over a transfer.The Brazilian has been a key player for the Madrid giants, but his future is uncertain after his reduced game time under managerXabi Alonso.He has been heavily linked with a move toArsenalin recent weeks, but just like the Reds, they have only made contact with his representatives.Liverpoolhave done the same this week and it remains to be seen whether either of those clubs make a formal approach for the Madrid star."
https://www.eyefootball.com/news/60017/Chelsea-leading-Arsenal-race-61m-attacker.html,Chelsea leading Arsenal in race to sign £61m attacker,"The Dutchman had a good 2024/25 campaign with the Bundesliga giants, making 19 goal contributions in all competitions.He was injured for a couple of months in the season, but still ended the campaign on a good note. He could now leave for a bigger challenge.Jacobs claim thatChelseaare progressing with talks to land the Netherlands international, and have made formal contact with Leipzig as well.Leipzig are aiming to secure around £61 million for the wide attacker, but the Blues hope to sign him for less amid interest from other elite clubs.Arsenalare also keen on the player, but have not made any movement.Simons was recently on the radar of Bayern Munich, but he has turned them down due to his preference to move to the Premier League this summer.Manchester United have been long-term admirers, but have not made a move, having opted to signMatheus CunhaandBryan Mbeumo."
https://www.eyefootball.com/news/60016/Arsenal-finally-agree-deal-Viktor-Gyokeres.html,Arsenal finally agree deal to sign Viktor Gyokeres,"The Gunners have targeted a marquee striker this summer and they have eventually secured the services of Gyokeres.The Swede will join the club in a deal worth €63m plus €10m in add-ons.Sporting wanted the bonuses to be easily achievable.Arsenalhave agreed to the demand, but it will be spread over the entire length of his contract.Gyokeres is now preparing for his medical with documents being exchanged. He could fly to Singapore to undergo his tests very soon.The 27-year-old won't be available for the friendly against AC Milan tomorrow, but could make his debut againstNewcastleon Sunday.Cristhian Mosquerahas also travelled to Singapore from London. His deal has not been announced yet due to some concerns over paperwork.That is expected to be sorted soon and he should make his debut. It could come in the Magpies game too as he has just taken his flight."
https://www.eyefootball.com/news/60012/Emi-Martinez-nears-Man-Utd-transfer-deal.html,Emi Martinez nears Man Utd transfer deal,"The 32-year-old goalkeeper has reportedly indicated that he is ready to transfer elsewhere, butUnai Emery, theAston Villaboss will only sell at the transfer valuation of the club, said to be £40 million.United have struggled in their efforts to find a long-term successor toDavid De Geaand current number 1 keeperAndre Onanacould also be allowed to leave this summer to make way for Martinez.It is understood that United have already begun talks and are ready to pay £30 million to sign Martinez, who has two years remaining on his current contract. Martinez is looking to double his current salary with a move to Old Trafford, as the keeper attempts to get his dream transfer move over the line before the beginning of the new season."
https://www.eyefootball.com/news/60011/Arsenal-unlikely-27yo-playmaker-summer.html,Arsenal unlikely to sign 27yo playmaker this summer,"The Gunners made contact with the Englishman's agents two weeks ago, and it was claimed that they could swoop for his signature soon.However, the club have not made any sort of offer on the table, considering Palace have no plans to negotiate for the 27-year-old.Eze has a release clause worth £68 million in his contract, and Palace reportedly want the entire fee in one payment to sanction his sale.Amidst this, the Gunners have seemingly distanced themselves from the player and look unlikely to land his services before the deadline.They are still open to bolstering the attacking department with another high-profile playmaker. RB Leipzig'sXavi Simonsis a possible target.The club also have their sights on Real Madrid star Rodrygo, but the Brazilian has not requested to leave the La Liga heavyweights thus far."
https://www.eyefootball.com/news/60010/Arsenal-progress-Viktor-Gyokeres-deal.html,Arsenal making progress in Viktor Gyokeres deal,"The Gunners have identified the Sweden international as their priority striker target and talks are advancing with Sporting.The club had stalled over the past week due to differences over the add-ons, but they are now making progress as things stand.Fabrizio Romanoreports that positive talks were held on Monday and a transfer could be formalised in the next few days.Gyokeres has also received offers from several elite clubs, but the striker is fully determined to join the Gunners this summer.Arsenalare presently in Singapore for the pre-season tour and they are expected to face AC Milan in their opening friendly.ManagerMikel Artetawill hope that Gyokeres can join the club as soon as possible so that he can train with his new teammates.The Swede has been working on his individual fitness on his own, having refused to return to training at the Portuguese giants."
https://www.eyefootball.com/news/60003/27yo-star-rejected-Man-Utd-Arsenal-transfer.html,27yo star has rejected Man Utd for Arsenal transfer,"The Sweden international has developed into one of the best strikers in the world and he could be on his way to the Premier League very soon.Arsenalare in advanced negotiations with Sporting for the player. They are ready to pay £55m as a fixed fee, but there are concerns over bonuses.Sporting want the £8.5m add-ons to be easily achievable, butArsenalbelieve a portion of the bonuses should be difficult to trigger in the near future.Amidst this, there has been speculation that United could hijack the deal for Gyokeres, but A Bola claim that the 27-year-old is holding out for a move to the Gunners.He and his agent have a clear stance on their mind and have no plans of changing their direction despite fresh interest from the Red Devils this week."
https://www.eyefootball.com/news/59996/Arsenal-Nicolas-Jackson-transfer-decision.html,Arsenal make Nicolas Jackson transfer decision,"The Gunners are keen on bolstering their strikeforce ahead of next season and reports claim thatViktor Gyokeresis the number one target.Talks are advancing with Sporting CP for the Swede and the club are optimistic of securing an agreement in the coming days.Amidst this, HandofArsenalhas revealed thatArsenalwere recently offered the chance to signChelseastrikerNicolas Jacksonby agent Ali Barat.Barat recently helped the Gunners to signNoni Maduekefrom the Blues, but the Gunners have rejected the opportunity to land Jackson.The decision does not come as a surprise, given Jackson has failed to meet the expectations over the past year and could be on the move soon.The Blues have signed two strikers inLiam DelapandJoao Pedrothis summer and they are open to parting ways with Jackson for the right fee."
https://www.eyefootball.com/news/59994/Arsenal-part-ways-25-year--centre.html,Arsenal to part ways with 25-year-old centre-back?,"The Gunners have already secured an agreement to land Mosquera and the deal has been delayed due to some paperwork.Once he joins the club, there is a possibility that Kiwior could leave the Gunners in the search for regular minutes.The Pole has been a solid deputy behindWilliam SalibaandGabriel Magalhaesfor the central defensive positions.With the arrival of Mosquera, he could push for an exit. There is already plenty of interest from the Serie A in his services.AC Milan, Napoli, Bologna and Juventus have been linked with him in the past.Arsenalare likely to demand a permanent transfer fee.Kiwior was signed for around £17 million from Spezia two years ago andArsenalmay look for a profit based on his progress last term.The 25-year-old stepped up for the club in the injury absence of Gabriel earlier this year. He outperformed Saliba several times."
https://www.eyefootball.com/news/59993/Arsenal-handed-boost-signing-Rodrygo.html,Arsenal handed boost in signing Rodrygo?,"The Brazil international has been a key player for the La Liga giants, but his future has become a discussing point in recent weeks.Since the appointment ofXabi Alonsoas Madrid's manager, Rodrygo has fallen down the selection order at the capital outfit.He was a regular on the bench at the Club World Cup and his situation may not improve during the forthcoming La Liga season.Rodrygo faces more competition withFranco Mastantuonoset to join the club. The teenager could start regularly on the right wing.Amidst this,Fabrizio Romanoclaims that the 24-year-old is unsure over his next move and could be open to pursuing a new challenge.Arsenalhave already held preliminary talks with the player's agents and would be the front-runners if he decides to move on.Madrid are set to demand at least £76m for his services."
